Prob = 0.2	 Time = 0.3
0	0:00:00.293997	0
0	0:00:00.239803	0
0	0:00:00.224101	0
0	0:00:00.208465	0
0	0:00:00.208766	0
0	0:00:00.200863	0
0	0:00:00.218375	0
1	0:00:00.341229	0
0	0:00:00.209041	0
0	0:00:00.223897	0
0	0:00:00.213188	0
0	0:00:00.214561	0
0	0:00:00.157633	0
0	0:00:00.193043	0
0	0:00:00.190551	0
1	0:00:00.330905	1
0	0:00:00.220001	0
0	0:00:00.254770	0
0	0:00:00.248484	0
0	0:00:00.237653	0
1	0:00:00.275313	0
0	0:00:00.189484	0
0	0:00:00.239353	0
0	0:00:00.211306	0
1	0:00:00.412444	1
0	0:00:00.301409	0
0	0:00:00.208795	0
0	0:00:00.207024	0
0	0:00:00.215194	0
0	0:00:00.207509	0
1	0:00:00.368847	1
1	0:00:00.297007	1
0	0:00:00.285143	0
0	0:00:00.224562	0
0	0:00:00.237653	0
0	0:00:00.232050	0
0	0:00:00.263187	0
0	0:00:00.261676	0
0	0:00:00.267000	0
0	0:00:00.223845	0
0	0:00:00.261495	0
0	0:00:00.257961	0
0	0:00:00.246962	0
0	0:00:00.236000	0
0	0:00:00.220577	0
0	0:00:00.278505	0
0	0:00:00.230957	0
0	0:00:00.297247	0
0	0:00:00.280059	0
0	0:00:00.303427	0
0	0:00:00.224964	0
0	0:00:00.221934	0
1	0:00:00.351863	0
1	0:00:00.289772	0
0	0:00:00.258715	0
0	0:00:00.302633	0
1	0:00:00.331821	0
0	0:00:00.207737	0
1	0:00:00.181441	0
1	0:00:00.328090	0
0	0:00:00.328718	0
0	0:00:00.231824	0
1	0:00:00.278496	0
0	0:00:00.224616	0
0	0:00:00.414203	1
1	0:00:00.303184	0
0	0:00:00.282096	0
0	0:00:00.256194	0
0	0:00:00.254999	0
0	0:00:00.253072	0
0	0:00:00.247213	0
0	0:00:00.252728	0
1	0:00:00.333119	0
0	0:00:00.161853	0
0	0:00:00.249086	0
1	0:00:00.348636	0
0	0:00:00.193335	0
1	0:00:00.315112	0
0	0:00:00.207056	0
0	0:00:00.230057	0
0	0:00:00.254870	0
0	0:00:00.237608	0
0	0:00:00.238614	0
0	0:00:00.223566	0
0	0:00:00.221447	0
0	0:00:00.229441	0
1	0:00:00.431139	1
0	0:00:00.118262	0
0	0:00:00.208065	0
0	0:00:00.174913	0
1	0:00:00.346351	1
0	0:00:00.143946	0
1	0:00:00.436406	1
1	0:00:00.444364	1
0	0:00:00.495259	1
0	0:00:00.281206	0
0	0:00:00.256725	0
0	0:00:00.244881	0
0	0:00:00.246515	0
0	0:00:00.236981	0
